Data collection started on {11/05/2018 14:39:22.676}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.6000000000	1.4419775692	-6.3859006638	3.0746929122	-0.9689478904	0.0228885328	0.8468757153	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1181048295	-0.5456015869	-0.8230716411	0.0504768444	-0.0086060883	-0.9411154345	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0346990158	0.0310978866	-0.1617151141	0.0294499123	0.0134584573	-0.0741283284	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.6200000000	0.4654001678	-6.0502021820	2.9831387808	-0.0686655985	0.5111772335	1.1062790875	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1157854582	-0.5438925765	-0.8159914549	0.0471808957	0.0103150988	-0.9409933623	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342717632	0.0316472114	-0.1617151141	0.0276188296	0.0169375143	-0.0823682002	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.6400000000	0.7095445182	-6.5842679484	2.7847714961	2.0523384451	1.6708628977	1.4572365911	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1165178912	-0.5415732052	-0.8207522698	0.0432745861	0.0097047379	-0.9394064240	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0340886549	0.0308537423	-0.1622644388	0.0343938354	0.0127260243	-0.0635690852	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.6600000000	1.6250858320	-6.4774547951	2.8000305180	0.0381475547	1.8844892042	1.2436102846	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1138323033	-0.5460898756	-0.8170901045	0.0471808957	-0.0029907683	-0.9394064240	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342107271	0.0314030671	-0.1617151141	0.0293888762	0.0129701686	-0.0895094224	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7515068284	0.8250125887	2.4750377661	
0.6800000000	0.8010986496	-6.3096055543	2.9678797589	0.8316166934	2.2049286641	1.2741283284	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1150530251	-0.5485313191	-0.8173342489	0.0507209888	0.0045777066	-0.9374532692	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0346379797	0.0313420310	-0.1623865110	0.0325627527	0.0111390860	-0.0861524376	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7515068284	0.8250125887	2.4750377661	
0.7000000000	1.5640497444	-6.4164187076	2.8152895399	1.2741283284	1.5487907225	1.4877546349	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1117570764	-0.5517051957	-0.8175783932	0.0524299992	-0.0020141909	-0.9417257954	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342717632	0.0304264897	-0.1620813306	0.0337834745	0.0110780499	-0.0883497368	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.7200000000	0.5264362554	-6.2943465324	2.8152895399	0.6332494087	0.5569542992	0.9842069123	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1122453651	-0.5551232166	-0.8136720836	0.0523079271	-0.0054322118	-0.9494163424	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342717632	0.0304875257	-0.1626916915	0.0306706340	0.0102235447	-0.0826733806	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.7400000000	0.6332494087	-6.6910811017	2.9068436713	1.3809414817	0.8468757153	1.1673151751	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1132219425	-0.5506065461	-0.8144045167	0.0490119783	0.0029907683	-0.9402609293	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342717632	0.0304875257	-0.1626916915	0.0303654536	0.0116884108	-0.0813305867	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.7600000000	-0.0076295109	-6.7063401236	3.1357289998	0.6332494087	0.6637674525	0.8163576715	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1165178912	-0.5446250095	-0.8202639811	0.0495002670	-0.0070191501	-0.9450217441	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342107271	0.0299992370	-0.1613488975	0.0313420310	0.0159609369	-0.0866407263	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.7800000000	0.2975509270	-6.1417563134	2.9831387808	-0.5722133211	0.5569542992	0.9994659342	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1227435721	-0.5425497826	-0.8201419089	0.0466926070	-0.0043335622	-0.9384298466	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0345159075	0.0308537423	-0.1617761501	0.0257877470	0.0133974212	-0.0959182116	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
